employe_id,branch_id,salary,join_date,resign_date,days_of_work,total_work_hours,effectiveness,salary_suitability,payroll_effectiveness_score
1,3,7500000,8/23/2018,,,889,inefisien,suitable,75
7,1,7500000,4/28/2017,,,19,inefisien,not suitable,50
8,1,13000000,4/28/2017,,,749,overwork,suitable,75
9,1,13500000,12/22/2017,10/14/2020,1027,2134,overwork,suitable,75
10,1,9000000,3/1/2018,,,2520,overwork,suitable,75
11,1,8500000,7/2/2018,11/4/2019,490,246,overwork,suitable,75
12,1,7500000,7/6/2018,10/30/2019,481,136,inefisien,not suitable,50
13,1,9500000,7/30/2018,,,3093,overwork,suitable,75
14,1,6000000,7/30/2018,,,2684,overwork,suitable,75
15,1,6000000,7/1/2020,,,2031,overwork,suitable,75
16,1,10000000,8/10/2018,10/28/2019,444,135,inefisien,not suitable,50
17,1,14000000,8/4/2018,2/21/2020,566,845,overwork,suitable,75
18,1,12000000,8/14/2018,,,2642,overwork,suitable,75
19,1,11500000,9/28/2018,,,2797,overwork,suitable,75
20,1,11500000,12/28/2018,11/30/2020,703,2419,overwork,suitable,75
21,1,13500000,1/2/2019,,,2838,overwork,suitable,75
22,1,8000000,1/21/2019,,,2592,overwork,suitable,75
23,1,13000000,12/18/2018,,,2776,overwork,suitable,75
24,1,14500000,7/16/2019,,,2516,overwork,suitable,75
25,1,12500000,3/28/2019,11/29/2019,246,295,overwork,suitable,75
26,1,10500000,7/22/2019,,,2825,overwork,suitable,75
27,1,9000000,7/22/2019,,,2596,overwork,suitable,75
28,1,8500000,7/22/2019,,,2615,overwork,suitable,75
29,1,14000000,7/22/2019,10/27/2020,463,1905,overwork,suitable,75
30,1,5500000,8/19/2019,,,2774,overwork,suitable,75
31,3,13000000,10/15/2018,1/20/2020,462,497,overwork,suitable,75
32,3,14000000,2/8/2019,,,2684,overwork,suitable,75
33,3,9500000,3/1/2019,11/1/2019,245,188,overwork,suitable,75
34,2623,13000000,1/15/2019,6/27/2020,529,1671,overwork,suitable,75
35,2623,13500000,2/4/2019,,,1810,overwork,suitable,75
36,2623,6000000,2/4/2019,,,2730,overwork,suitable,75
37,2623,6000000,2/4/2019,,,3079,overwork,suitable,75
38,2590,11500000,2/4/2019,,,2438,overwork,suitable,75
39,3092,5000000,2/4/2019,,,2062,overwork,suitable,75
40,2590,8000000,2/4/2019,,,2455,overwork,suitable,75
41,2623,13500000,2/26/2019,,,4768,inefisien,suitable,25
42,2623,9500000,5/6/2019,,,2567,overwork,suitable,75
43,2623,14500000,5/13/2019,,,5029,inefisien,suitable,25
